ID,户型,面积(m²),地址,状态,房东ID,房东姓名,房东电话
H-1001,两室一厅,74.8,赣州市经开区金凤路79号湖边雅居20栋2307,空置,L-1037,叶丽,17769466966
H-1002,两室一厅,85.7,赣州市章贡区红旗大道61号绿地中心13栋2304,已租出,L-1022,向春林,15186064721
H-1003,两室一厅,81.1,赣州市章贡区健康路268号江畔人家14栋2002,已租出,L-1033,李凤霞,17747942124
H-1004,两室两厅,93,赣州市南康区文峰大道104号东山花园11栋2506,空置,L-1038,尹杰,13835099654
H-1005,三室一厅,96.6,赣州市赣县区梅林镇滨江路57号储潭雅苑5栋2106,空置,L-1039,汪玉兰,15233918939
H-1006,两室一厅,77.5,赣州市赣县区梅林镇滨江路88号梅林花园8栋2204,空置,L-1062,丁振华,15260961672
H-1007,单间配套,39.5,赣州市章贡区赞贤路16号绿地中心8栋3003,空置,L-1016,周玉兰,18887881235
H-1008,两室一厅,62.7,赣州市南康区蓉江街道254号东山花园4栋3006,空置,L-1063,韩桂英,13968591955
H-1009,三室两厅,117.8,赣州市南康区东山街道217号阳光康城12栋903,空置,L-1066,郭秀珍,13642456157
H-1010,两室一厅,76.9,赣州市蓉江新区蓉江大道245号潭口花园4栋406,已租出,L-1060,胡磊,18192286818
H-1011,三室两厅,106.2,赣州市章贡区兴国路43号金顺花园4栋1407,空置,L-1027,何敏,13777603174
H-1012,两室两厅,92.8,赣州市赣县区贡江大道279号江畔人家19栋1408,已租出,L-1012,吴超,15839448469
H-1013,两室两厅,88.3,赣州市章贡区长征大道135号华润幸福里6栋105,已租出,L-1058,田桂英,18085527497
H-1014,两室一厅,68.6,赣州市经开区金凤路94号翡翠澜湾12栋1307,空置,L-1064,贺明远,13643428033
H-1015,三室两厅,120.2,赣州市南康区蓉江东路234号南康国际公馆18栋1804,空置,L-1048,谭德明,18738119266
H-1016,四室两厅,131.6,赣州市蓉江新区赣南大道59号蓉江壹号20栋1302,已租出,L-1061,龚桂英,15029076166
H-1017,三室一厅,99.2,赣州市赣县区梅林镇城南大道210号双龙湾16栋3002,空置,L-1040,邹秀珍,13610653640
H-1018,两室两厅,79.9,赣州市蓉江新区蓉江大道41号平安新城11栋507,空置,L-1045,苏玉兰,18064528953
H-1019,一室一厅,50.5,赣州市章贡区张家围路51号江山里11栋1307,空置,L-1058,田桂英,18085527497
H-1020,一室一厅,42.2,赣州市南康区东山街道253号泰康家园8栋205,已租出,L-1036,姚丽,15942294085
H-1021,三室两厅,133.2,赣州市南康区蓉江东路20号阳光康城18栋603,空置,L-1057,龙小燕,13560011585
H-1022,两室一厅,63.6,赣州市蓉江新区蓉江大道170号蓉江壹号18栋2302,空置,L-1044,唐宪明,17677459267
H-1023,三室两厅,105.7,赣州市赣县区贡江大道39号城南佳苑14栋2004,已租出,L-1067,韩桂芳,18753476632
H-1024,四室两厅,146.8,赣州市章贡区滨江大道103号江畔人家9栋2701,已租出,L-1025,董涛,13533638752
H-1025,两室一厅,76.6,赣州市经开区蟠龙大道232号翡翠澜湾15栋405,空置,L-1041,宋海涛,18972630282
H-1026,两室一厅,89.6,赣州市经开区湖边大道164号华坚大厦2栋1903,已租出,L-1014,夏东升,18631590096
H-1027,三室一厅,96.8,赣州市章贡区梅关大道218号华润幸福里2栋2004,空置,L-1053,蔡小娟,18939095867
H-1028,四室两厅,171.9,赣州市赣县区梅林镇滨江路145号梅林花园1栋102,空置,L-1008,侯芳,17618734684
H-1029,三室两厅,134.9,赣州市南康区文峰大道131号家具城公寓11栋304,已租出,L-1005,向建新,15073109076
H-1030,三室一厅,97.5,赣州市南康区蓉江街道253号龙岭新村19栋1304,空置,L-1019,卢涛,13350672509
H-1031,三室两厅,104.9,赣州市章贡区健康路47号老建委宿舍19栋2905,已租出,L-1009,范小丽,18037598018
H-1032,两室两厅,92.1,赣州市南康区泰康路252号东山花园2栋1106,空置,L-1045,苏玉兰,18064528953
H-1033,两室一厅,80.6,赣州市经开区金凤路67号金凤家园12栋207,已租出,L-1030,蔡芳,15149129076
H-1034,两室两厅,95.6,赣州市蓉江新区潭口镇56号学府名苑6栋2006,空置,L-1007,宋浩,17746721191
H-1035,两室两厅,86.1,赣州市章贡区红旗大道92号银盛花园15栋408,已租出,L-1014,夏东升,18631590096
H-1036,两室一厅,78.3,赣州市蓉江新区平安大道201号蓉江首府2栋2605,空置,L-1008,侯芳,17618734684
H-1037,单间配套,33.3,赣州市经开区金凤路56号华坚大厦18栋201,已租出,L-1008,侯芳,17618734684
H-1038,四室两厅,151,赣州市章贡区文明大道216号翰林苑5栋1408,已租出,L-1029,贾永强,17747558566
H-1039,两室一厅,69.7,赣州市章贡区梅关大道180号华润幸福里8栋902,空置,L-1056,方丽娟,13357401776
H-1040,两室一厅,75,赣州市南康区泰康路40号金赣小区19栋1502,已租出,L-1018,梁建新,13852819700
H-1041,三室一厅,96.4,赣州市章贡区张家围路60号恒大御景14栋2106,空置,L-1053,蔡小娟,18939095867
H-1042,四室两厅,171,赣州市章贡区张家围路53号老建委宿舍2栋2405,空置,L-1066,郭秀珍,13642456157
H-1043,三室一厅,89.6,赣州市南康区家具城路133号蓉江新城5栋901,空置,L-1034,贾玉梅,17769662621
H-1044,单间配套,32,赣州市南康区蓉江东路21号南康国际公馆13栋2807,空置,L-1071,吴建刚,15198529031
H-1045,三室一厅,87.3,赣州市赣县区梅林镇城南大道86号贡江新城1栋1002,空置,L-1046,袁宇,18731616070
H-1046,一室一厅,38.2,赣州市南康区家具城路163号南水花园19栋1305,空置,L-1068,付丽娟,18935823741
H-1047,三室两厅,133.7,赣州市章贡区青年路1号东方名苑6栋305,空置,L-1015,陈志强,17681956414
H-1048,单间配套,40.6,赣州市章贡区健康路119号中海国际社区15栋1901,空置,L-1055,徐秀荣,15064235940
H-1049,一室一厅,43.6,赣州市章贡区长征大道267号印象江南12栋702,空置,L-1045,苏玉兰,18064528953
H-1050,两室两厅,80.5,赣州市经开区金凤路160号华坚大厦16栋2703,空置,L-1050,肖文杰,13967222025
H-1051,三室两厅,107,赣州市蓉江新区高校路105号平安新城16栋1505,空置,L-1070,叶玉梅,15389773687
H-1052,一室一厅,42.8,赣州市章贡区滨江大道180号水岸新都6栋804,已租出,L-1003,贺伟,15149759512
H-1053,三室两厅,127.1,赣州市蓉江新区蓉江大道94号高校园区公寓17栋2705,已租出,L-1018,梁建新,13852819700
H-1054,三室一厅,110.9,赣州市章贡区红旗大道29号五龙桂园8栋2003,已租出,L-1052,韩建平,15152107620
H-1055,两室两厅,96,赣州市蓉江新区潭口镇192号蓉江壹号1栋2801,已租出,L-1026,程平,18715654697
H-1056,三室两厅,131.1,赣州市章贡区赣江源大道220号城央一品14栋1003,空置,L-1021,万斌,18634562974
H-1057,四室两厅,132.1,赣州市蓉江新区蓉江大道40号潭口花园5栋1805,空置,L-1071,吴建刚,15198529031
H-1058,五室两厅,190.7,赣州市章贡区长征大道163号江山里2栋108,空置,L-1010,严宪明,13541766273
H-1059,五室两厅,190,赣州市经开区蟠龙大道164号蟠龙新城4栋1206,空置,L-1024,邓小梅,18167509423
H-1060,两室一厅,72.6,赣州市章贡区站前大道21号水岸新都10栋1408,已租出,L-1047,余芳,13975474773
H-1061,一室一厅,49.6,赣州市经开区金凤路101号迎宾花园8栋803,空置,L-1059,魏晓燕,18068771361
H-1062,三室两厅,125.5,赣州市经开区湖边大道123号蟠龙新城8栋108,空置,L-1028,白秀华,15822879745
H-1063,三室两厅,116.7,赣州市赣县区梅林镇双龙大道240号江畔人家10栋104,空置,L-1013,刘玉兰,13587510569
H-1064,三室一厅,107.8,赣州市赣县区梅林镇滨江路260号贡江新城7栋1206,空置,L-1054,孙丽萍,17620039080
H-1065,单间配套,34.1,赣州市南康区金赣北大道209号文峰苑15栋3001,空置,L-1042,王丽娟,18880944538
H-1066,三室两厅,123.7,赣州市蓉江新区潭口镇36号平安新城19栋2305,已租出,L-1004,肖海涛,18875773098
H-1067,一室一厅,57.4,赣州市章贡区兴国路122号新力帝泊湾18栋2304,已租出,L-1002,付小华,13937290891
H-1068,两室一厅,82.5,赣州市章贡区大公路144号蓝天花园1栋2402,空置,L-1071,吴建刚,15198529031
H-1069,两室两厅,99,赣州市南康区家具城路23号蓉江新城14栋703,空置,L-1011,赵秀英,18116389187
H-1070,两室一厅,72.8,赣州市南康区金赣北大道173号金赣小区4栋2407,空置,L-1028,白秀华,15822879745
H-1071,一室一厅,54.3,赣州市章贡区厚德路193号国香花园15栋107,空置,L-1062,丁振华,15260961672
H-1072,两室一厅,88.1,赣州市赣县区梅林镇双龙大道145号储潭雅苑14栋506,已租出,L-1051,胡芳,13570003864
H-1073,一室一厅,48.4,赣州市章贡区文清路293号印象江南6栋201,已租出,L-1006,许丽萍,17781869467
H-1074,单间配套,41.4,赣州市章贡区大公路282号保利香槟国际7栋701,空置,L-1058,田桂英,18085527497
H-1075,四室两厅,149.1,赣州市章贡区梅关大道75号城央一品20栋1107,已租出,L-1059,魏晓燕,18068771361
H-1076,两室一厅,77.1,赣州市经开区湖边大道30号金凤家园1栋3006,空置,L-1017,龚小丽,13553920565
H-1077,三室两厅,123.1,赣州市赣县区储潭路287号储潭雅苑20栋1605,空置,L-1069,莫鹏,13964842580
H-1078,三室两厅,105.1,赣州市章贡区红旗大道171号金顺花园14栋3004,空置,L-1010,严宪明,13541766273
H-1079,三室两厅,133.4,赣州市经开区锦绣路68号翡翠澜湾2栋1306,已租出,L-1049,高秀兰,13633970603
H-1080,五室两厅,168.4,赣州市蓉江新区高校路26号高校园区公寓17栋2408,已租出,L-1054,孙丽萍,17620039080
H-1081,两室两厅,90.7,赣州市蓉江新区蓉江大道263号蓉江壹号19栋2503,已租出,L-1032,夏玉梅,17731100468
H-1082,一室一厅,46.4,赣州市南康区蓉江东路236号家具城公寓14栋3003,空置,L-1039,汪玉兰,15233918939
H-1083,三室两厅,112.7,赣州市蓉江新区蓉江大道291号潭口花园15栋2707,空置,L-1065,韩娜,18852578027
H-1084,三室两厅,106.3,赣州市南康区文峰大道118号金赣小区6栋302,已租出,L-1050,肖文杰,13967222025
H-1085,两室一厅,63.8,赣州市章贡区赣江源大道31号悦景台14栋2403,空置,L-1060,胡磊,18192286818
H-1086,两室一厅,63.2,赣州市章贡区兴国路177号东方名苑15栋2703,已租出,L-1066,郭秀珍,13642456157
H-1087,一室一厅,56.1,赣州市赣县区梅林镇双龙大道245号城南佳苑12栋205,空置,L-1040,邹秀珍,13610653640
H-1088,两室一厅,67,赣州市章贡区青年路36号阳光新都19栋803,已租出,L-1046,袁宇,18731616070
H-1089,两室一厅,81.3,赣州市南康区泰康路63号南水花园2栋606,空置,L-1023,雷文杰,13644498748
H-1090,两室两厅,91.4,赣州市赣县区梅林镇双龙大道146号江畔人家16栋1203,已租出,L-1043,林振华,18743205936
H-1091,一室一厅,45.5,赣州市蓉江新区潭口镇150号学府名苑10栋1603,空置,L-1036,姚丽,15942294085
H-1092,三室一厅,88.8,赣州市章贡区文明大道34号阳光新都4栋1208,已租出,L-1020,陆明远,13350968691
H-1093,两室一厅,75.9,赣州市经开区金凤路271号蟠龙新城18栋404,已租出,L-1001,雷丽娟,13931392484
H-1094,四室两厅,132.2,赣州市经开区锦绣路37号蟠龙新城16栋308,空置,L-1021,万斌,18634562974
H-1095,两室一厅,69.1,赣州市经开区华坚路155号翡翠澜湾7栋2801,空置,L-1035,肖娟,13331375792
H-1096,两室一厅,63.5,赣州市赣县区梅林镇城南大道114号贡江新城4栋606,空置,L-1012,吴超,15839448469
H-1097,两室两厅,77.4,赣州市章贡区梅关大道214号金顺花园11栋1505,已租出,L-1031,魏建刚,15965625139
H-1098,四室两厅,141.1,赣州市赣县区贡江大道298号储潭雅苑13栋305,空置,L-1017,龚小丽,13553920565
H-1099,三室两厅,134.1,赣州市章贡区长征大道77号香江半岛7栋708,已租出,L-1057,龙小燕,13560011585
H-1100,两室两厅,87.2,赣州市南康区金赣北大道103号蓉江新城10栋804,空置,L-1035,肖娟,13331375792
